hike,date,time,altimeter,accuracy,altitude,time_h_m,corrected_altitude,elevation_gain
Blood Mountain,4/11/2018,11:58:29,GPS,Accurate,925.6,00:00:00,3036.7,0
Blood Mountain,4/11/2018,12:05:06,GPS,Accurate,935.4,00:06:37,3068.9,32.2
Blood Mountain,4/11/2018,12:08:24,GPS,Accurate,952.6,00:09:55,3125.3,88.6
Blood Mountain,4/11/2018,12:16:45,GPS,Accurate,1006.2,00:18:16,3301.2,264.4
Blood Mountain,4/11/2018,12:27:05,GPS,Accurate,1056.2,00:28:36,3465.2,428.5
Blood Mountain,4/11/2018,12:33:05,GPS,Accurate,1099,00:34:36,3605.6,568.9
Blood Mountain,4/11/2018,12:38:55,GPS,Accurate,1121.8,00:40:26,3680.4,643.7
Blood Mountain,4/11/2018,12:46:13,GPS,Accurate,1136.8,00:47:44,3729.7,692.9
Blood Mountain,4/11/2018,12:52:30,GPS,Accurate,1202,00:54:01,3943.6,906.8
Blood Mountain,4/11/2018,12:57:53,GPS,Accurate,1250.4,00:59:24,4102.4,1065.6
Blood Mountain,4/11/2018,13:03:32,GPS,Accurate,1219.4,01:05:03,4000.7,963.9
Blood Mountain,4/11/2018,13:10:24,GPS,Accurate,1253.6,01:11:55,4112.9,1076.1
Blood Mountain,4/11/2018,13:17:56,GPS,Accurate,1278,01:19:27,4192.9,1156.2
Blood Mountain,4/11/2018,13:23:55,GPS,Accurate,1304.6,01:25:26,4280.2,1243.4
Blood Mountain,4/11/2018,13:34:24,GPS,Accurate,1315.8,01:35:55,4316.9,1280.2
Blood Mountain,4/11/2018,13:42:24,GPS,Accurate,1351.2,01:43:55,4433.1,1396.3
Blood Mountain,4/11/2018,13:47:54,GPS,Accurate,1335.4,01:49:25,4381.2,1344.5
Blood Mountain,4/11/2018,13:56:45,GPS,Accurate,1285.4,01:58:16,4217.2,1180.4
Blood Mountain,4/11/2018,14:05:21,GPS,Accurate,1213.2,02:06:52,3980.3,943.6
Blood Mountain,4/11/2018,14:13:17,GPS,Accurate,1146.4,02:14:48,3761.2,724.4
Blood Mountain,4/11/2018,14:21:17,GPS,Accurate,1114.2,02:22:48,3655.5,618.8
Blood Mountain,4/11/2018,14:26:50,GPS,Accurate,1130.8,02:28:21,3710,673.2
Blood Mountain,4/11/2018,14:32:49,GPS,Accurate,1121.8,02:34:20,3680.4,643.7
Blood Mountain,4/11/2018,14:40:48,GPS,Accurate,1117,02:42:19,3664.7,628
Blood Mountain,4/11/2018,14:46:09,GPS,Accurate,1120,02:47:40,3674.5,637.8
Blood Mountain,4/11/2018,14:55:26,GPS,Accurate,1100.6,02:56:57,3610.9,574.1
Blood Mountain,4/11/2018,15:02:44,GPS,Accurate,1092.2,03:04:15,3583.3,546.6
Blood Mountain,4/11/2018,15:08:05,GPS,Accurate,1088,03:09:36,3569.6,532.8
Blood Mountain,4/11/2018,15:13:27,GPS,Accurate,1073,03:14:58,3520.3,483.6
Blood Mountain,4/11/2018,15:20:40,GPS,Accurate,1058.8,03:22:11,3473.8,437
Blood Mountain,4/11/2018,15:26:01,GPS,Accurate,1036.8,03:27:32,3401.6,364.8
Blood Mountain,4/11/2018,15:35:53,GPS,Accurate,929.2,03:37:24,3048.6,11.8
Brasstown Bald,4/21/2018,13:52:14,GPS,Accurate,694.2,00:00:00,2277.6,0
Brasstown Bald,4/21/2018,13:58:55,GPS,Accurate,725.6,00:06:41,2380.6,103
Brasstown Bald,4/21/2018,14:05:01,GPS,Accurate,746.2,00:12:47,2448.2,170.6
Brasstown Bald,4/21/2018,14:12:56,GPS,Accurate,849.6,00:20:42,2787.4,509.8
Brasstown Bald,4/21/2018,14:18:16,GPS,Accurate,893,00:26:02,2929.8,652.2
Brasstown Bald,4/21/2018,14:26:26,GPS,Accurate,929.4,00:34:12,3049.2,771.7
Brasstown Bald,4/21/2018,14:36:43,GPS,Accurate,1002,00:44:29,3287.4,1009.8
Brasstown Bald,4/21/2018,14:43:56,GPS,Accurate,1003,00:51:42,3290.7,1013.1
Brasstown Bald,4/21/2018,14:52:55,GPS,Accurate,1046.4,01:00:41,3433.1,1155.5
Brasstown Bald,4/21/2018,15:03:14,GPS,Accurate,1115.8,01:11:00,3660.8,1383.2
Brasstown Bald,4/21/2018,15:12:02,GPS,Accurate,1103.2,01:19:48,3619.4,1341.9
Brasstown Bald,4/21/2018,15:19:53,GPS,Accurate,1045.2,01:27:39,3429.1,1151.6
Brasstown Bald,4/21/2018,15:30:11,GPS,Accurate,1090.8,01:37:57,3578.7,1301.2
